torre_id,datalog_id,canal_conexion_dl,sensor_id,altura_medicion,descripcion,unidades,numero_serie,marca,modelo,slope,offset,long_brazo_horizontal,long_brazo_vertical,orientacion,tipo,clase_sensor,anio_instalacion,fecha_instalacion,fecha_certificacion,fecha_calibracion,duracion_calibracion,activo
TRE-018,HPA-T1-DatLog-1,999,HPA-T1-Bar-1,78.0,barometro                               ,mb,2890,APOGEE,SB-100,,,,,,,,2020.0,,,,,True
TRE-018,HPA-T1-DatLog-1,999,HPA-T1-Ter-1,78.0,termometro                              ,C,192616000038BD,Campbell Scientific,EE181-L,,,,,,,,2020.0,,,,,True
TRE-002,GNSR_T2-DatLog-1,1,GNSR_T2-A-1,67.0,anemometro                              ,m/s,3195324,Thies Clima,4.3351.10.000,0.04605,0.2277,,2.0,0.0,Horizontal                              ,Clase I                                 ,2019.0,,2019-02-14,,,True
TRE-002,GNSR_T2-DatLog-1,2,GNSR_T2-A-2,40.0,anemometro                              ,m/s,3195325,Thies Clima,4.3351.10.000,0.04617,0.2072,2.2,1.0,195.0,Horizontal                              ,Clase I                                 ,2019.0,,2019-02-14,,,True
TRE-002,GNSR_T2-DatLog-1,3,GNSR_T2-A-3,20.0,anemometro                              ,m/s,3195326,Thies Clima,4.3351.10.000,0.04602,0.2436,2.2,1.0,195.0,Horizontal                              ,Clase I                                 ,2019.0,,2019-02-14,,,True
TRE-002,GNSR_T2-DatLog-1,20,GNSR_T2-A-4,64.0,anemometro                              ,m/s,3195327,RM Young Company,27106T,18.0,0.0,2.2,1.0,195.0,Vertical                                ,,2019.0,,2018-11-27,,,True
TRE-011,HNA-T2-DatLog-1,1,HNA-T2-A-1,80.0,anemometro                              ,m/s,5161355,Thies Clima,4.3351.10.000,0.04612,0.2255,,,0.0,Horizontal                              ,Clase I                                 ,2019.0,,2019-03-07,,,True
TRE-011,HNA-T2-DatLog-1,2,HNA-T2-A-2,76.0,anemometro                              ,m/s,5161354,Thies Clima,4.3351.10.000,0.04615,0.2298,2.0,,168.0,Horizontal                              ,Clase I                                 ,2019.0,,2019-03-07,,,True
TRE-011,HNA-T2-DatLog-1,20,HNA-T2-A-5,73.0,anemometro                              ,m/s,1208476,RM Young Company,27106T,17.9449,0.057,2.0,,168.0,Vertical                                ,Clase I                                 ,2019.0,,2019-03-07,,,True
TRE-011,HNA-T2-DatLog-1,3,HNA-T2-A-3,60.0,anemometro                              ,m/s,5161353,Thies Clima,4.3351.10.000,0.04609,0.2459,2.0,,168.0,Horizontal                              ,Clase I                                 ,2019.0,,2019-03-07,,,True
TRE-011,HNA-T2-DatLog-1,4,HNA-T2-A-4,40.0,anemometro                              ,m/s,S/S,Thies Clima,4.3351.10.000,0.04606,0.2514,2.0,,168.0,Horizontal                              ,Clase I                                 ,2019.0,,2019-03-07,,,True
TRE-012,HNA-T3-DatLog-1,1,HNA-T3-A-1,80.0,anemometro                              ,m/s,1208474,,,,,,,,,,,,,,,True
TRE-012,HNA-T3-DatLog-1,3,HNA-T3-A-3,60.0,anemometro                              ,m/s,1208468,,,,,,,,,,,,,,,True
TRE-013,TPI-T1-DatLog-1,1,TPI-T1-A-1,80.0,anemometro                              ,m/s,1208478,Thies Clima,4.3351.10.000,0.04588,0.2501,0.0,2.0,0.0,Horizontal                              ,Clase I                                 ,2019.0,,2018-03-06,,,True
TRE-013,TPI-T1-DatLog-1,2,TPI-T1-A-2,76.0,anemometro                              ,m/s,1208475,Thies Clima,4.3351.10.000,0.04603,0.2241,2.0,0.95,186.0,Horizontal                              ,Clase I                                 ,2019.0,,2018-03-06,,,True
TRE-013,TPI-T1-DatLog-1,20,TPI-T1-A-5,73.5,anemometro                              ,m/s,7346,RM Young Company,27106T,18.0,0.0,2.0,0.95,186.0,Vertical                                ,,2019.0,,,,,True
TRE-010,HNA-T1-DatLog-1,1,HNA-T1-A-1,100.0,anemometro                              ,m/s,5161367,Thies Clima,4.3351.10.000,0.04614,0.2505,,,0.0,Horizontal                              ,Clase I                                 ,2019.0,,2019-03-07,,,True
TRE-010,HNA-T1-DatLog-1,2,HNA-T1-A-2,96.0,anemometro                              ,m/s,5161366,Thies Clima,4.3351.10.000,0.04615,0.2549,2.0,,182.0,Horizontal                              ,Clase I                                 ,2019.0,,2019-03-07,,,True
TPI-T2,TPI-T2-DatLog-1,1,TPI-T2-A-1,80.0,anemometro                              ,m/s,1208470,Thies Clima,4.3351.10.000,0.04611,0.22247,0.0,1.7,0.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
TPI-T2,TPI-T2-DatLog-1,2,TPI-T2-A-2,78.0,anemometro                              ,m/s,1208469,Thies Clima,4.3351.10.000,0.04597,0.2517,1.85,0.952,180.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
TPI-T2,TPI-T2-DatLog-1,3,TPI-T2-A-3,60.0,anemometro                              ,m/s,1208482,Thies Clima,4.3351.10.000,0.0466,0.229,1.85,0.952,180.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
TPI-T2,TPI-T2-DatLog-1,4,TPI-T2-A-4,40.0,anemometro                              ,m/s,1208481,Thies Clima,4.3351.10.000,0.04599,0.2418,1.85,0.952,180.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
TPI-T2,TPI-T2-DatLog-1,26,TPI-T2-A-5,75.0,anemometro                              ,m/s,7342,RM Young Company,27106T,18.0,0.0,1.85,0.952,180.0,Vertical                                ,,2016.0,,,,,True
TPI-T3,TPI-T3-DatLog-1,1,TPI-T3-A-1,80.0,anemometro                              ,m/s,1208480,Thies Clima,4.3351.10.000,0.04599,0.2469,0.0,1.7,0.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
